;humidity;radiation_global;radiation_sky_long_wave;radiation_sky_short_wave_diffuse;sunshine_duration;temperature_air_mean_200;wind_direction;wind_speed
count;368208.0;368208.0;368208.0;368208.0;368208.0;368208.0;368208.0;368208.0
mean;9.925547288946662;31817.352882149902;19452.00316186257;16037.166687993653;100.17714875330064;2.4165027166719657;71.84795929754351;2.0484830450771225
std;3.3391992925366227;43788.311894025515;8669.552828557189;21140.804931815073;112.00103309037611;0.6021049255357589;29.84615218663622;0.611931167154433
min;2.2098352058243247;0.0;2166.1735138967224;0.0;0.0;1.080077045147079;11.777232268082324;0.6801310597193688
25%;7.499614174321505;0.0;14733.388180344913;0.0;0.0;1.993971498427407;48.64034198576199;1.5976481084220415
50%;9.573078328179236;3262.823845432318;18643.058664383272;2906.772013449516;10.869898853328433;2.291025989510201;67.88269548227902;1.9550292273713963
75%;11.993996397839236;54818.70889574164;23219.89742362434;28649.809073385182;222.03661112118883;2.6967777554482266;92.7638888455247;2.4157370418681356
max;25.9278461755544;204326.68635886695;157479.11838485993;96995.29450423512;300.16827061362034;6.872974276021989;162.17134468445624;5.5855052935230525
