;humidity;radiation_global;radiation_sky_long_wave;radiation_sky_short_wave_diffuse;sunshine_duration;temperature_air_mean_200;wind_direction;wind_speed
count;368208.0;368208.0;368208.0;368208.0;368208.0;368208.0;368208.0;368208.0
mean;78.19684813852191;76405.02489903056;189532.43292563452;36866.00552288567;121.40335431869705;283.00760995080543;195.49202802508978;3.6228043744501135
std;14.524883021331586;115994.23414140806;21429.262210111145;50626.42750196257;172.53450965190984;7.532417701639362;50.572244162362885;1.4266938905271487
min;25.632829373650107;0.0;107818.18181818182;0.0;0.0;260.3252688172043;47.24409448818898;1.0788235294117647
25%;70.10577882589541;0.0;175090.9090909091;0.0;0.0;276.98671920682824;161.14624505928853;2.586220472440945
50%;82.65577125381694;2068.3760683760684;189636.36363636365;1894.271075919888;1.4487113402061857;282.45715060427636;200.1556420233463;3.320233463035019
75%;89.41632308845577;121400.44642857142;205272.72727272726;65764.70588235294;215.10783972125438;288.5690371991247;234.140625;4.334251968503938
max;98.50976138828634;560150.4424778761;257545.45454545456;247135.59322033898;601.2;307.66026200873364;326.18110236220474;12.950197628458499
